customer_id,first_name,last_name,gender,age,signup_date,region,age_group
C0000,Patrick,Morgan,Male,18,11-07-2024,South,Young Adult
C0001,Eric,Lee,Other,36,20-09-2020,East,Middle-aged
C0002,Thomas,Pena,Female,44,07-03-2021,East,Middle-aged
C0003,Dalton,Duran,Male,24,29-08-2021,South,Young Adult
C0004,Travis,Mcclain,Male,50,29-03-2023,South,Middle-aged
C0005,Brian,Kelley,Male,68,21-11-2024,North,Senior
C0006,Alyssa,Sandoval,Female,47,08-02-2025,North,Middle-aged
C0007,Theresa,Wright,Male,70,08-12-2022,South,Senior
C0008,Alyssa,Estrada,Male,48,22-08-2023,East,Middle-aged
C0009,Karen,Clark,Female,62,31-05-2023,East,Senior
C0010,Christina,Scott,Male,70,04-06-2021,West,Senior
C0011,John,Franklin,Other,51,30-06-2020,East,Senior
C0012,Jerome,Jones,Male,63,06-06-2020,East,Senior
C0013,Richard,Barnes,Male,65,15-06-2020,North,Senior
C0014,Anna,Bennett,Male,26,28-06-2020,South,Adult
C0015,Anne,Greer,Other,32,18-09-2020,East,Adult
C0016,Sabrina,Carey,Male,31,21-09-2022,South,Adult
C0017,Crystal,Adkins,Male,45,30-07-2024,North,Middle-aged
C0018,Amanda,Riley,Male,19,21-01-2023,West,Young Adult
C0019,Jose,Arellano,Female,20,19-05-2020,South,Young Adult
C0020,Michelle,Adkins,Male,20,28-04-2021,North,Young Adult
C0021,Courtney,Roth,Female,25,29-12-2022,East,Young Adult
C0022,John,Le,Male,22,27-11-2024,East,Young Adult
C0023,Patricia,Stephens,Other,44,30-09-2020,North,Middle-aged
C0024,Amber,Higgins,Male,56,13-01-2023,South,Senior
C0025,Sharon,Montes,Other,30,17-12-2022,South,Adult
C0026,Vincent,Henry,Other,40,15-09-2024,North,Middle-aged
C0027,Ray,Ross,Male,27,17-12-2021,East,Adult
C0028,Kylie,Long,Other,40,16-09-2023,East,Middle-aged
C0029,Nancy,Murphy,Male,50,14-09-2021,South,Middle-aged
C0030,Craig,Matthews,Other,54,06-05-2022,North,Senior
C0031,Melanie,Patterson,Male,70,27-04-2023,North,Senior
C0032,John,Frazier,Other,31,01-07-2021,South,Adult
C0033,Charles,Jones,Female,28,27-07-2024,North,Adult
C0034,Shawn,Hall,Other,24,20-05-2022,South,Young Adult
C0035,James,Small,Other,63,13-01-2022,West,Senior
C0036,Anthony,Williams,Female,44,18-09-2023,South,Middle-aged
C0037,John,Silva,Female,61,09-05-2024,North,Senior
C0038,Jamie,Hopkins,Male,40,22-09-2024,West,Middle-aged
C0039,Jonathan,Brown,Female,31,20-08-2021,South,Adult
C0040,Jason,Lee,Female,25,23-05-2021,East,Young Adult
C0041,Jonathan,Kennedy,Male,47,16-05-2022,North,Middle-aged
C0042,Sherry,Torres,Other,26,19-07-2020,West,Adult
C0043,Kevin,Chavez,Female,63,13-02-2023,East,Senior
C0044,Bryan,Pollard,Other,64,14-12-2021,North,Senior
C0045,Allison,Pratt,Male,38,23-06-2023,West,Middle-aged
C0046,Edward,Green,Male,42,04-07-2021,East,Middle-aged
C0047,Michael,Brewer,Female,56,12-11-2024,East,Senior
C0048,Gregory,Ward,Other,46,06-09-2024,South,Middle-aged
C0049,Robert,Manning,Other,44,09-07-2024,East,Middle-aged
C0050,Robert,Wilcox,Female,30,11-04-2022,North,Adult
C0051,Kathy,Porter,Female,61,14-07-2023,East,Senior
C0052,Megan,Peterson,Male,18,13-03-2025,West,Young Adult
C0053,Matthew,Watson,Other,24,26-03-2024,West,Young Adult
C0054,Jorge,Jenkins,Female,51,24-07-2020,North,Senior
C0055,Carlos,Strickland,Male,44,25-01-2025,West,Middle-aged
C0056,Dawn,Guzman,Female,62,21-11-2022,North,Senior
C0057,Jennifer,Medina,Other,28,20-01-2023,North,Adult
C0058,Taylor,Patterson,Female,30,07-10-2024,East,Adult
C0059,Alison,Berger,Male,56,16-11-2020,West,Senior
C0060,Todd,Boyd,Male,32,06-09-2022,West,Adult
C0061,Molly,Johnson,Other,49,28-12-2021,East,Middle-aged
C0062,Debbie,Shaw,Other,67,25-09-2023,East,Senior
C0063,Barbara,Barnes,Other,43,10-11-2023,East,Middle-aged
C0064,Bryan,Jones,Female,60,12-11-2021,West,Senior
C0065,Jessica,Lopez,Female,50,25-11-2024,East,Middle-aged
C0066,Daniel,Whitaker,Male,67,30-04-2023,West,Senior
C0067,William,Singleton,Male,25,25-02-2024,East,Young Adult
C0068,Debra,Powell,Female,49,22-07-2022,South,Middle-aged
C0069,Kelli,Santana,Other,26,19-06-2021,North,Adult
C0070,Michelle,Mitchell,Male,65,06-08-2024,North,Senior
C0071,William,Williams,Male,49,18-12-2024,North,Middle-aged
C0072,Michele,Walter,Male,42,05-11-2021,East,Middle-aged
C0073,Virginia,Molina,Male,37,20-06-2023,North,Middle-aged
